Date,Open,High,Low,Close,Volume,feature1,feature2,feature3,feature4,feature5
6/2/2023,73.38,73.38,72.0,72.18,3159408,0.0,0.0,0.0,0.0,0.0
6/5/2023,72.7,72.73,71.7,71.99,601559,0.0,0.0,0.0,0.0,0.0
6/6/2023,72.01,72.3,71.15,71.67,2155824,0.0,0.0,0.0,0.0,0.0
6/7/2023,71.55,72.2,71.2,71.74,1216068,0.0,0.0,0.0,0.0,0.0
6/8/2023,71.9,72.0,70.29,70.51,650557,0.0,0.0,0.0,0.0,0.0
6/9/2023,70.8,70.8,69.1,69.85,1121869,0.0,0.0,0.0,0.0,0.0
6/12/2023,69.7,69.7,66.0,67.26,3481955,0.0,0.0,0.0,0.0,0.0
6/13/2023,67.49,68.19,67.49,67.66,315133,0.0,0.0,0.0,0.0,0.0
6/14/2023,68.33,69.9,67.71,68.51,2204042,0.0,0.0,0.0,0.0,0.0
6/15/2023,67.67,69.25,67.5,68.84,737148,0.0,0.0,0.0,0.0,0.0
6/16/2023,68.25,69.69,68.1,68.49,788930,0.0,0.0,0.0,0.0,0.0
6/19/2023,68.49,69.4,67.9,68.55,4276332,0.0,0.0,0.0,0.0,0.0
6/20/2023,69.0,69.47,67.98,68.08,1338108,0.0,0.0,0.0,0.0,0.0
6/21/2023,68.05,68.74,67.9,68.1,1615439,0.0,0.0,0.0,0.0,0.0
6/22/2023,68.1,69.0,66.83,67.85,1688972,0.0,0.0,0.0,0.0,0.0
6/23/2023,68.0,69.45,66.6,68.17,1719662,0.0,0.0,0.0,0.0,0.0
6/26/2023,69.02,70.49,69.02,69.93,2341449,0.0,0.0,0.0,0.0,0.0
6/27/2023,69.88,74.2,68.8,73.23,6688542,0.0,0.0,0.0,0.0,0.0
7/3/2023,78.5,78.72,76.75,78.63,6303547,0.0,0.0,0.0,0.0,0.0
7/4/2023,79.7,79.7,76.62,76.78,2601726,0.0,0.0,0.0,0.0,0.0
7/5/2023,77.35,78.48,76.5,77.79,1703209,0.0,0.0,0.0,0.0,0.0
7/6/2023,78.9,79.29,77.62,79.14,2958196,0.0,0.0,0.0,0.0,0.0
7/7/2023,79.16,79.7,78.33,79.05,1098658,0.0,0.0,0.0,0.0,0.0
7/10/2023,79.01,79.4,77.86,78.16,1306297,0.0,0.0,0.0,0.0,0.0
7/11/2023,78.4,79.9,77.85,79.34,3957277,0.0,0.0,0.0,0.0,0.0
7/12/2023,79.5,80.8,79.15,79.9,3194172,0.0,0.0,0.0,0.0,0.0
7/13/2023,80.44,81.25,78.9,79.41,4784952,0.0,0.0,0.0,0.0,0.0
7/14/2023,80.0,80.0,78.3,78.41,3772721,0.0,0.0,0.0,0.0,0.0
7/17/2023,78.41,79.69,78.04,78.41,3165527,0.0,0.0,0.0,0.0,0.0
7/18/2023,78.6,78.95,77.14,78.08,5530864,0.0,0.0,0.0,0.0,0.0
7/19/2023,78.68,79.11,77.7,78.08,3659248,0.0,0.0,0.0,0.0,0.0
7/20/2023,78.44,79.4,77.85,78.03,3842743,0.0,0.0,0.0,0.0,0.0
7/21/2023,78.39,79.75,78.04,79.05,8255291,0.0,0.0,0.0,0.0,0.0
7/24/2023,79.89,79.98,79.06,79.47,2161744,0.0,0.0,0.0,0.0,0.0
7/25/2023,79.1,85.43,79.1,85.43,12648860,0.0,0.0,0.0,0.0,0.0
7/26/2023,86.49,87.0,82.12,84.92,10322590,0.0,0.0,0.0,0.0,0.0
7/27/2023,84.5,91.29,84.5,90.77,11869540,0.0,0.0,0.0,0.0,0.0
7/31/2023,91.5,97.58,91.5,97.26,14673530,0.0,0.0,0.0,0.0,0.0
8/1/2023,96.94,98.0,95.01,96.65,6095517,0.0,0.0,0.0,0.0,0.0
8/2/2023,96.5,103.9,95.52,102.2,18677600,0.0,0.0,0.0,0.0,0.0
8/3/2023,104.98,107.8,104.6,105.24,12084310,0.0,0.0,0.0,0.0,0.0
8/4/2023,104.0,104.89,102.2,104.31,4067599,0.0,0.0,0.0,0.0,0.0
8/7/2023,104.0,105.7,103.1,103.93,3719995,0.0,0.0,0.0,0.0,0.0
8/8/2023,103.03,103.5,100.26,100.91,2947084,0.0,0.0,0.0,0.0,0.0
8/9/2023,100.75,104.3,100.0,103.28,3628129,0.0,0.0,0.0,0.0,0.0
8/10/2023,104.0,104.2,101.0,101.57,2293921,0.0,0.0,0.0,0.0,0.0
8/11/2023,102.0,105.5,101.72,102.43,11415130,0.0,0.0,0.0,0.0,0.0
8/15/2023,103.0,103.45,101.82,102.11,866453,0.0,0.0,0.0,0.0,0.0
